living_area,year_built,beds,full_bath,half_bath,property_type,list_price,list_price_per_sq_ft,sold_price,sold_price_per_sq_ft,living_area_above_ground,price_per_sq_ft,zip_code,list_date,closing_date
2423,2001,4,2,1,Detached,520000.00,214.61,601000.00,248.04,2423,248.04,27519,2/7/2022,3/18/2022
1960,2002,3,2,0,Detached,519000.00,264.80,601000.00,306.63,1960,306.63,27519,4/19/2022,5/6/2022
3151,1993,4,2,1,Detached,625000.00,198.35,605000.00,192.00,3151,192.00,27519,10/28/2021,1/10/2022
2685,2010,4,3,1,Detached,549000.00,204.47,611000.00,227.56,2685,227.56,27519,1/21/2022,3/10/2022
2847,2004,5,3,1,Detached,669900.00,235.30,615000.00,216.02,2847,216.02,27519,10/14/2021,1/13/2022
3000,2006,4,3,0,Detached,610000.00,203.33,620000.00,206.67,3000,206.67,27519,1/7/2022,3/7/2022
2564,2000,4,2,1,Detached,580000.00,226.21,625000.00,243.76,2564,243.76,27519,3/31/2022,5/16/2022
3394,2005,5,2,1,Detached,625000.00,184.15,625000.00,184.15,3394,184.15,27519,10/18/2021,1/11/2022
2280,1995,3,2,1,Detached,624500.00,273.90,627000.00,275.00,2280,275.00,27519,4/5/2022,5/13/2022
2098,1995,3,2,1,Detached,549000.00,261.68,630000.00,300.29,2098,300.29,27519,4/25/2022,5/19/2022
2150,1996,4,2,1,Detached,545000.00,253.49,645000.00,300.00,2150,300.00,27519,3/3/2022,4/5/2022
2898,1998,4,2,1,Detached,600000.00,207.04,650000.00,224.29,2898,224.29,27519,12/3/2021,1/11/2022
2560,2003,3,2,1,Detached,599000.00,233.98,661000.00,258.20,2560,258.20,27519,3/1/2022,5/13/2022
2815,2004,4,2,1,Detached,624600.00,221.88,665000.00,236.23,2815,236.23,27519,1/20/2022,3/8/2022
2312,1991,4,2,1,Detached,600000.00,259.52,675000.00,291.96,2312,291.96,27519,12/7/2021,1/20/2022
2662,2006,3,2,0,Detached,600000.00,225.39,675000.00,253.57,2662,253.57,27519,3/28/2022,5/2/2022
2892,2004,4,3,0,Detached,635000.00,219.57,686000.00,237.21,2892,237.21,27519,12/15/2021,1/24/2022
2796,2021,3,3,1,Detached,706400.00,252.65,704085.00,251.82,2796,251.82,27519,8/25/2021,4/20/2022
3647,2021,6,5,1,Detached,714082.00,195.80,714082.00,195.80,3647,195.80,27519,3/17/2021,4/20/2022
2400,1991,4,2,1,Detached,600000.00,250.00,715000.00,297.92,2400,297.92,27519,2/10/2022,3/28/2022
