living_area,year_built,beds,full_bath,half_bath,property_type,list_price,list_price_per_sq_ft,sold_price,sold_price_per_sq_ft,living_area_above_ground,price_per_sq_ft,list_date,closing_date
"1,522",1996,3,2,1,Detached,"$159,850.00",$105.03,"$159,850.00",$105.03,"1,522",$105.03,2/18/2004,3/31/2004
806,2008,1,1,1,Condo,"$159,900.00",$198.39,"$159,900.00",$198.39,806,$198.39,5/20/2020,6/29/2020
"1,400",2005,2,2,1,Condo,"$159,900.00",$114.21,"$159,900.00",$114.21,"1,400",$114.21,3/21/2005,2/2/2006
"1,400",2005,2,2,1,Condo,"$145,900.00",$104.21,"$159,900.00",$114.21,"1,400",$114.21,4/27/2005,7/7/2006
"1,400",2010,2,2,0,Condo,"$159,900.00",$114.21,"$159,900.00",$114.21,"1,400",$114.21,9/4/2009,4/29/2010
"1,440",1999,2,2,1,Attached,"$162,400.00",$112.78,"$159,900.00",$111.04,"1,440",$111.04,11/14/2011,1/31/2013
"1,713",2007,3,3,1,Attached,"$165,000.00",$96.32,"$159,900.00",$93.35,"1,713",$93.35,4/12/2012,6/1/2012
"1,402",1996,3,2,1,Detached,"$159,900.00",$114.05,"$159,900.00",$114.05,"1,402",$114.05,11/23/2004,2/11/2005
"1,517",2011,2,2,1,Attached,"$158,000.00",$104.15,"$159,975.00",$105.46,"1,517",$105.45,8/9/2011,1/25/2012
"1,110",2004,1,1,1,Condo,"$159,900.00",$144.05,"$160,000.00",$144.14,"1,110",$144.14,5/17/2018,7/9/2018
"1,400",2007,2,2,0,Condo,"$169,900.00",$121.36,"$160,000.00",$114.29,"1,400",$114.29,11/21/2016,1/24/2017
"1,706",1994,3,2,1,Detached,"$180,000.00",$105.51,"$160,000.00",$93.79,"1,706",$93.79,8/29/2012,11/21/2012
"1,620",2007,3,2,1,Attached,"$168,000.00",$103.70,"$160,000.00",$98.77,"1,620",$98.77,6/30/2012,9/28/2012
"1,860",2007,2,2,1,Attached,"$164,900.00",$88.66,"$160,000.00",$86.02,"1,860",$86.02,12/18/2010,3/16/2011
"1,640",2006,2,2,1,Attached,"$179,900.00",$109.70,"$160,000.00",$97.56,"1,640",$97.56,6/23/2013,8/23/2013
"1,500",2009,2,2,1,Attached,"$169,900.00",$113.27,"$160,000.00",$106.67,"1,500",$106.67,6/11/2014,8/27/2014
"1,767",2007,3,3,1,Attached,"$165,900.00",$93.89,"$160,000.00",$90.55,"1,767",$90.55,5/24/2011,9/9/2011
"1,739",2008,2,2,1,Attached,"$170,000.00",$97.76,"$160,000.00",$92.01,"1,739",$92.01,6/13/2012,8/27/2012
"1,395",1999,2,2,1,Attached,"$165,000.00",$118.28,"$160,000.00",$114.70,"1,395",$114.70,10/29/2007,2/26/2008
"1,770",2006,2,2,1,Attached,"$169,900.00",$95.99,"$160,000.00",$90.40,"1,770",$90.40,3/18/2011,7/6/2011
"1,780",2010,3,3,1,Attached,"$164,010.00",$92.14,"$160,000.00",$89.89,"1,780",$89.89,4/17/2010,7/30/2010
"1,797",2007,3,3,1,Attached,"$167,000.00",$92.93,"$160,000.00",$89.04,"1,797",$89.04,2/19/2013,3/28/2013
"1,570",2007,2,2,1,Attached,"$159,900.00",$101.85,"$160,000.00",$101.91,"1,570",$101.91,9/24/2013,11/13/2013
"1,528",2008,2,2,1,Attached,"$169,990.00",$111.25,"$160,000.00",$104.71,"1,528",$104.71,3/25/2009,5/27/2009
"2,004",2005,4,3,1,Attached,"$158,900.00",$79.29,"$160,000.00",$79.84,"2,004",$79.84,7/11/2010,11/5/2010
"1,337",1997,3,2,1,Detached,"$165,000.00",$123.41,"$160,000.00",$119.67,"1,337",$119.67,3/17/2005,7/15/2005
"1,686",1995,3,2,1,Detached,"$168,000.00",$99.64,"$160,000.00",$94.90,"1,686",$94.90,9/11/2003,11/3/2003
"1,453",1996,3,2,1,Detached,"$162,000.00",$111.49,"$160,000.00",$110.12,"1,453",$110.12,2/27/2004,4/30/2004
"1,780",2012,3,3,1,Attached,"$161,990.00",$91.01,"$160,500.00",$90.17,"1,780",$90.17,2/17/2012,5/28/2012
"1,780",2010,3,3,1,Attached,"$160,965.00",$90.43,"$160,500.00",$90.17,"1,780",$90.17,10/21/2010,3/28/2011
"1,811",2007,3,3,1,Attached,"$165,000.00",$91.11,"$160,500.00",$88.63,"1,811",$88.63,1/28/2010,8/31/2010
"1,780",2011,3,3,1,Attached,"$164,565.00",$92.45,"$160,560.00",$90.20,"1,780",$90.20,3/23/2011,11/15/2011
"1,713",2009,3,3,1,Attached,"$163,820.00",$95.63,"$160,688.00",$93.81,"1,713",$93.81,9/4/2009,10/16/2009
"1,878",2007,3,2,1,Attached,"$179,900.00",$95.79,"$160,800.00",$85.62,"1,878",$85.62,3/28/2012,5/30/2012
811,2004,1,1,1,Condo,"$155,000.00",$191.12,"$161,000.00",$198.52,811,$198.52,10/1/2019,11/11/2019
"1,400",1994,3,2,1,Detached,"$159,900.00",$114.21,"$161,000.00",$115.00,"1,400",$115.00,12/15/2004,1/27/2005
"1,353",2007,2,2,0,Condo,"$163,900.00",$121.14,"$161,000.00",$119.00,"1,353",$118.99,5/1/2012,8/27/2012
"1,789",2007,3,3,1,Attached,"$167,000.00",$93.35,"$161,000.00",$89.99,"1,789",$89.99,1/14/2013,4/22/2013
"1,497",1995,3,2,1,Detached,"$159,900.00",$106.81,"$161,500.00",$107.88,"1,497",$107.88,3/9/2004,4/28/2004
"1,425",1996,3,2,1,Detached,"$161,500.00",$113.33,"$161,500.00",$113.33,"1,425",$113.33,9/1/2004,1/18/2005
"1,429",2011,2,2,1,Attached,"$159,793.00",$111.82,"$161,618.00",$113.10,"1,429",$113.10,5/5/2011,10/28/2011
"1,713",2011,3,3,1,Attached,"$161,875.00",$94.50,"$161,875.00",$94.50,"1,713",$94.50,7/13/2011,10/21/2011
"1,798",2006,3,3,1,Attached,"$161,900.00",$90.04,"$161,900.00",$90.04,"1,450",$90.04,6/30/2011,9/29/2011
"1,634",2009,3,2,1,Attached,"$167,490.00",$102.50,"$161,940.00",$99.11,"1,634",$99.11,6/19/2009,11/15/2009
"1,780",2012,3,3,1,Attached,"$161,990.00",$91.01,"$161,990.00",$91.01,"1,780",$91.01,2/17/2012,6/14/2012
"1,602",1995,3,2,1,Detached,"$167,900.00",$104.81,"$162,000.00",$101.12,"1,602",$101.12,8/15/2002,10/15/2002
"1,400",2005,3,2,0,Condo,"$179,900.00",$128.50,"$162,000.00",$115.71,"1,400",$115.71,10/18/2013,12/27/2013
"1,403",2010,2,2,1,Attached,"$164,900.00",$117.53,"$162,000.00",$115.47,"1,403",$115.47,3/4/2013,7/8/2013
"1,482",2008,2,2,1,Attached,"$169,500.00",$114.37,"$162,000.00",$109.31,"1,482",$109.31,2/20/2013,5/16/2013
"1,323",2009,2,2,1,Attached,"$175,000.00",$132.28,"$162,000.00",$122.45,"1,323",$122.45,3/28/2013,7/31/2013
"1,780",2010,3,3,1,Attached,"$169,010.00",$94.95,"$162,000.00",$91.01,"1,780",$91.01,4/17/2010,6/24/2010
"1,791",2007,3,3,1,Attached,"$166,000.00",$92.69,"$162,000.00",$90.45,"1,791",$90.45,1/8/2013,3/1/2013
